"Id","DisplayName","StandardName"
"Dateline Standard Time","(UTC-12:00) International Date Line West","Dateline Standard Time"
"UTC-11","(UTC-11:00) Coordinated Universal Time-11","UTC-11"
"Aleutian Standard Time","(UTC-10:00) Aleutian Islands","Aleutian Standard Time"
"Hawaiian Standard Time","(UTC-10:00) Hawaii","Hawaiian Standard Time"
"Marquesas Standard Time","(UTC-09:30) Marquesas Islands","Marquesas Standard Time"
"Alaskan Standard Time","(UTC-09:00) Alaska","Alaskan Standard Time"
"UTC-09","(UTC-09:00) Coordinated Universal Time-09","UTC-09"
"Pacific Standard Time (Mexico)","(UTC-08:00) Baja California","Pacific Standard Time (Mexico)"
"UTC-08","(UTC-08:00) Coordinated Universal Time-08","UTC-08"
"Pacific Standard Time","(UTC-08:00) Pacific Time (US & Canada)","Pacific Standard Time"
"US Mountain Standard Time","(UTC-07:00) Arizona","US Mountain Standard Time"
"Mountain Standard Time (Mexico)","(UTC-07:00) La Paz, Mazatlan","Mountain Standard Time (Mexico)"
"Mountain Standard Time","(UTC-07:00) Mountain Time (US & Canada)","Mountain Standard Time"
"Yukon Standard Time","(UTC-07:00) Yukon","Yukon Standard Time"
"Central America Standard Time","(UTC-06:00) Central America","Central America Standard Time"
"Central Standard Time","(UTC-06:00) Central Time (US & Canada)","Central Standard Time"
"Easter Island Standard Time","(UTC-06:00) Easter Island","Easter Island Standard Time"
"Central Standard Time (Mexico)","(UTC-06:00) Guadalajara, Mexico City, Monterrey","Central Standard Time (Mexico)"
"Canada Central Standard Time","(UTC-06:00) Saskatchewan","Canada Central Standard Time"
"SA Pacific Standard Time","(UTC-05:00) Bogota, Lima, Quito, Rio Branco","SA Pacific Standard Time"
"Eastern Standard Time (Mexico)","(UTC-05:00) Chetumal","Eastern Standard Time (Mexico)"
"Eastern Standard Time","(UTC-05:00) Eastern Time (US & Canada)","Eastern Standard Time"
"Haiti Standard Time","(UTC-05:00) Haiti","Haiti Standard Time"
"Cuba Standard Time","(UTC-05:00) Havana","Cuba Standard Time"
"US Eastern Standard Time","(UTC-05:00) Indiana (East)","US Eastern Standard Time"
"Turks And Caicos Standard Time","(UTC-05:00) Turks and Caicos","Turks and Caicos Standard Time"
"Paraguay Standard Time","(UTC-04:00) Asuncion","Paraguay Standard Time"
"Atlantic Standard Time","(UTC-04:00) Atlantic Time (Canada)","Atlantic Standard Time"
"Venezuela Standard Time","(UTC-04:00) Caracas","Venezuela Standard Time"
"Central Brazilian Standard Time","(UTC-04:00) Cuiaba","Central Brazilian Standard Time"
"SA Western Standard Time","(UTC-04:00) Georgetown, La Paz, Manaus, San Juan","SA Western Standard Time"
"Pacific SA Standard Time","(UTC-04:00) Santiago","Pacific SA Standard Time"
"Newfoundland Standard Time","(UTC-03:30) Newfoundland","Newfoundland Standard Time"
"Tocantins Standard Time","(UTC-03:00) Araguaina","Tocantins Standard Time"
"E. South America Standard Time","(UTC-03:00) Brasilia","E. South America Standard Time"
"SA Eastern Standard Time","(UTC-03:00) Cayenne, Fortaleza","SA Eastern Standard Time"
"Argentina Standard Time","(UTC-03:00) City of Buenos Aires","Argentina Standard Time"
"Montevideo Standard Time","(UTC-03:00) Montevideo","Montevideo Standard Time"
"Magallanes Standard Time","(UTC-03:00) Punta Arenas","Magallanes Standard Time"
"Saint Pierre Standard Time","(UTC-03:00) Saint Pierre and Miquelon","Saint Pierre Standard Time"
"Bahia Standard Time","(UTC-03:00) Salvador","Bahia Standard Time"
"UTC-02","(UTC-02:00) Coordinated Universal Time-02","UTC-02"
"Greenland Standard Time","(UTC-02:00) Greenland","Greenland Standard Time"
"Mid-Atlantic Standard Time","(UTC-02:00) Mid-Atlantic - Old","Mid-Atlantic Standard Time"
"Azores Standard Time","(UTC-01:00) Azores","Azores Standard Time"
"Cape Verde Standard Time","(UTC-01:00) Cabo Verde Is.","Cabo Verde Standard Time"
"UTC","(UTC) Coordinated Universal Time","Coordinated Universal Time"
"GMT Standard Time","(UTC+00:00) Dublin, Edinburgh, Lisbon, London","GMT Standard Time"
"Greenwich Standard Time","(UTC+00:00) Monrovia, Reykjavik","Greenwich Standard Time"
"Sao Tome Standard Time","(UTC+00:00) Sao Tome","Sao Tome Standard Time"
"Morocco Standard Time","(UTC+01:00) Casablanca","Morocco Standard Time"
"W. Europe Standard Time","(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","W. Europe Standard Time"
"Central Europe Standard Time","(UTC+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague","Central Europe Standard Time"
"Romance Standard Time","(UTC+01:00) Brussels, Copenhagen, Madrid, Paris","Romance Standard Time"
"Central European Standard Time","(UTC+01:00) Sarajevo, Skopje, Warsaw, Zagreb","Central European Standard Time"
"W. Central Africa Standard Time","(UTC+01:00) West Central Africa","W. Central Africa Standard Time"
"GTB Standard Time","(UTC+02:00) Athens, Bucharest","GTB Standard Time"
"Middle East Standard Time","(UTC+02:00) Beirut","Middle East Standard Time"
"Egypt Standard Time","(UTC+02:00) Cairo","Egypt Standard Time"
"E. Europe Standard Time","(UTC+02:00) Chisinau","E. Europe Standard Time"
"West Bank Standard Time","(UTC+02:00) Gaza, Hebron","West Bank Gaza Standard Time"
"South Africa Standard Time","(UTC+02:00) Harare, Pretoria","South Africa Standard Time"
"FLE Standard Time","(UTC+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius","FLE Standard Time"
"Israel Standard Time","(UTC+02:00) Jerusalem","Jerusalem Standard Time"
"South Sudan Standard Time","(UTC+02:00) Juba","South Sudan Standard Time"
"Kaliningrad Standard Time","(UTC+02:00) Kaliningrad","Russia TZ 1 Standard Time"
"Sudan Standard Time","(UTC+02:00) Khartoum","Sudan Standard Time"
"Libya Standard Time","(UTC+02:00) Tripoli","Libya Standard Time"
"Namibia Standard Time","(UTC+02:00) Windhoek","Namibia Standard Time"
"Jordan Standard Time","(UTC+03:00) Amman","Jordan Standard Time"
"Arabic Standard Time","(UTC+03:00) Baghdad","Arabic Standard Time"
"Syria Standard Time","(UTC+03:00) Damascus","Syria Standard Time"
"Turkey Standard Time","(UTC+03:00) Istanbul","Turkey Standard Time"
"Arab Standard Time","(UTC+03:00) Kuwait, Riyadh","Arab Standard Time"
"Belarus Standard Time","(UTC+03:00) Minsk","Belarus Standard Time"
"Russian Standard Time","(UTC+03:00) Moscow, St. Petersburg","Russia TZ 2 Standard Time"
"E. Africa Standard Time","(UTC+03:00) Nairobi","E. Africa Standard Time"
"Volgograd Standard Time","(UTC+03:00) Volgograd","Volgograd Standard Time"
"Iran Standard Time","(UTC+03:30) Tehran","Iran Standard Time"
"Arabian Standard Time","(UTC+04:00) Abu Dhabi, Muscat","Arabian Standard Time"
"Astrakhan Standard Time","(UTC+04:00) Astrakhan, Ulyanovsk","Astrakhan Standard Time"
"Azerbaijan Standard Time","(UTC+04:00) Baku","Azerbaijan Standard Time"
"Russia Time Zone 3","(UTC+04:00) Izhevsk, Samara","Russia TZ 3 Standard Time"
"Mauritius Standard Time","(UTC+04:00) Port Louis","Mauritius Standard Time"
"Saratov Standard Time","(UTC+04:00) Saratov","Saratov Standard Time"
"Georgian Standard Time","(UTC+04:00) Tbilisi","Georgian Standard Time"
"Caucasus Standard Time","(UTC+04:00) Yerevan","Caucasus Standard Time"
